detail_id,detail_name,detail_name_norm
6697,전자통신공학과(e-MU),전자통신공학과emu
6698,전자통신공학전공,전자통신공학전공
6699,전자통신과,전자통신과
6700,전자통신과(e-MU),전자통신과emu
6701,전자통신전공,전자통신전공
6702,전자통신컴퓨터공학부,전자통신컴퓨터공학부
6703,전자화학재료전공,전자화학재료전공
6704,전통미술공예학과,전통미술공예학과
6705,전통연희학과,전통연희학과
6706,전통예술학부,전통예술학부
6707,전통예술학부(음악예술전공),전통예술학부음악예술전공
6708,전통조경학과,전통조경학과
6709,전통조리과,전통조리과
6710,전투공병부사관과,전투공병부사관과
6711,전투기술부사관과,전투기술부사관과
6712,전투드론과,전투드론과
6713,전투드론부사관과,전투드론부사관과
6714,전투부사관과,전투부사관과
6715,전투부사관과(공학),전투부사관과공학
6716,전투특전전공,전투특전전공
6717,전파공학과,전파공학과
6718,전파공학전공,전파공학전공
6719,전파정보통신공학과,전파정보통신공학과
6720,전파정보통신공학전공,전파정보통신공학전공
6721,점자문헌정보학과,점자문헌정보학과
6722,정경학부,정경학부
6723,정밀기계공학과,정밀기계공학과
6724,정밀기계과,정밀기계과
6725,정밀기계시스템전공,정밀기계시스템전공
6726,정밀응용과학,정밀응용과학
6727,정밀응용과학부,정밀응용과학부
6728,정밀응용화학과,정밀응용화학과
6729,정밀화학과,정밀화학과
6730,정밀화학신소재학과,정밀화학신소재학과
6731,정보·컴퓨터공학부,정보컴퓨터공학부
6732,정보・인터랙션,정보인터랙션
6733,정보・전자상거래학부,정보전자상거래학부
6734,정보경영과,정보경영과
6735,정보경영학과,정보경영학과
6736,정보경영학부,정보경영학부
6737,정보경영학전공,정보경영학전공
6738,정보공학계열,정보공학계열
6739,정보공학전공,정보공학전공
6740,정보관리보안학과,정보관리보안학과
6741,정보기술과,정보기술과
6742,정보네트워크공학전공,정보네트워크공학전공
6743,정보디스플레이학과,정보디스플레이학과
6744,정보물류학과,정보물류학과
6745,정보법과학전공,정보법과학전공
6746,정보보안공학과,정보보안공학과
6747,정보보안과,정보보안과
6748,정보보안과(융합보안소프트웨어),정보보안과융합보안소프트웨어
6749,정보보안암호수학과,정보보안암호수학과
6750,정보보안전공,정보보안전공
6751,정보보안학과,정보보안학과
6752,정보보안학전공,정보보안학전공
6753,정보보호,정보보호
6754,정보보호과,정보보호과
6755,정보보호학과,정보보호학과
6756,정보보호학부,정보보호학부
6757,정보보호학전공,정보보호학전공
6758,정보사회미디어학과,정보사회미디어학과
6759,정보사회학과,정보사회학과
6760,정보산업공학전공,정보산업공학전공
6761,정보수학과,정보수학과
6762,정보시스템공학과,정보시스템공학과
6763,정보시스템공학전공,정보시스템공학전공
6764,정보시스템전공,정보시스템전공
6765,정보시스템통신공학과,정보시스템통신공학과
6766,정보시스템학과,정보시스템학과
6767,정보융합전공,정보융합전공
6768,정보융합학부,정보융합학부
6769,정보전기전자공학과,정보전기전자공학과
6770,정보전기전자공학전공,정보전기전자공학전공
6771,정보전자공학과,정보전자공학과
6772,정보전자과,정보전자과
6773,정보전자신소재공학과,정보전자신소재공학과
6774,정보전자전공,정보전자전공
6775,정보제어공학과,정보제어공학과
6776,정보제어전공,정보제어전공
6777,정보컴퓨터공학부,정보컴퓨터공학부
6778,정보콘텐츠학과,정보콘텐츠학과
6779,정보통계・보험수리학과,정보통계보험수리학과
6780,정보통계학과,정보통계학과
6781,정보통계학전공,정보통계학전공
6782,정보통신,정보통신
6783,정보통신AI공학과,정보통신ai공학과
6784,정보통신·멀티미디어공학부(멀티미디어공학전공),정보통신멀티미디어공학부멀티미디어공학전공
6785,정보통신·멀티미디어공학부(정보통신공학전공),정보통신멀티미디어공학부정보통신공학전공
6786,정보통신・전자공학과,정보통신전자공학과
6787,정보통신공학과,정보통신공학과
6788,정보통신공학부,정보통신공학부
6789,정보통신공학부(정보보안전공),정보통신공학부정보보안전공
6790,정보통신공학부(정보통신공학전공),정보통신공학부정보통신공학전공
6791,정보통신공학전공,정보통신공학전공
6792,정보통신과,정보통신과
6793,정보통신과(3년),정보통신과3년
6794,정보통신과(ICT융합전자),정보통신과ict융합전자
6795,정보통신군사학과,정보통신군사학과
6796,정보통신네트워크과,정보통신네트워크과
6797,정보통신대학,정보통신대학
6798,정보통신드론과,정보통신드론과
6799,정보통신보안공학과,정보통신보안공학과
6800,정보통신보안과,정보통신보안과
6801,정보통신보안전공,정보통신보안전공
6802,정보통신부사관과,정보통신부사관과
6803,정보통신소프트웨어공학과,정보통신소프트웨어공학과
6804,정보통신소프트웨어전공,정보통신소프트웨어전공
6805,정보통신시스템과,정보통신시스템과
6806,정보통신융합공학과,정보통신융합공학과
6807,정보통신융합공학부,정보통신융합공학부
6808,정보통신전공,정보통신전공
6809,정보통신전공(컴퓨터정보통신과)(3년제),정보통신전공컴퓨터정보통신과3년제
6810,정보통신전자공학부,정보통신전자공학부
6811,정보통신학과,정보통신학과
6812,정보통신학부,정보통신학부
6813,정보통신학전공,정보통신학전공
6814,정보특전부사관과,정보특전부사관과
6815,정보학부,정보학부
6816,정부・공기업전공,정부공기업전공
6817,정부행정학부,정부행정학부
6818,정원디자인전공,정원디자인전공
6819,정원문화산업전공,정원문화산업전공
6820,정원문화산업학과,정원문화산업학과
6821,정원조경과,정원조경과
6822,정책과학전공,정책과학전공
6823,정책학과,정책학과
6824,정책학전공,정책학전공
6825,정치·언론·국방학과,정치언론국방학과
6826,정치ᆞ국제학과,정치국제학과
6827,정치ᆞ언론학과,정치언론학과
6828,정치・사회학부,정치사회학부
6829,정치국제학과,정치국제학과
6830,정치사회학부(정치외교학전공),정치사회학부정치외교학전공
6831,정치안보국제학과,정치안보국제학과
6832,정치언론・국제학과,정치언론국제학과
6833,정치언론안보학과,정치언론안보학과
6834,정치언론홍보학과,정치언론홍보학과
6835,정치외교학과,정치외교학과
